rule,k,n,frame_sensitivity,frame_specificity,projected_event_sensitivity,projected_event_specificity,projected_false_alarm_probability_per_window,assumption
1-of-3,1,3,0.923,0.887,0.999543467,0.697864103,0.302135897,"independent frame errors; projection, not sequence validation"
2-of-3,2,3,0.923,0.887,0.983126066,0.964578794,0.035421206,"independent frame errors; projection, not sequence validation"
3-of-3,3,3,0.923,0.887,0.7863304670000001,0.998557103,0.0014428969999999996,"independent frame errors; projection, not sequence validation"
