split,rule,n,accuracy,f1,sensitivity,specificity,balanced_accuracy,tp,fn,fp,tn
train,leeds_millennium=>fall; coco2017=>normal,4248,0.9006591337099812,0.9254680324973508,1.0,0.7407862407862408,0.8703931203931203,2620,0,422,1206
val,leeds_millennium=>fall; coco2017=>normal,1062,0.9105461393596986,0.9323843416370107,1.0,0.7665847665847666,0.8832923832923834,655,0,95,312
test,leeds_millennium=>fall; coco2017=>normal,531,0.8926553672316384,0.918918918918919,1.0,0.7259615384615384,0.8629807692307692,323,0,57,151
all,leeds_millennium=>fall; coco2017=>normal,5841,0.9017291559664441,0.9261261261261261,1.0,0.744092732946946,0.872046366473473,3598,0,574,1669
